,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
482,Jonas Valančiūnas,C,30,NOP,79,79,1968,446,816,38,109,408,707,185,224,225,579,804,140,20,52,159,245,1115
483,Jarred Vanderbilt,PF,23,TOT,78,65,1879,247,451,29,90,218,361,96,139,170,412,582,184,83,21,97,190,619
484,Fred VanVleet,PG,28,TOR,69,69,2535,437,1112,207,606,230,506,254,283,30,250,280,495,123,38,140,193,1335
485,Devin Vassell,SG,22,SAS,38,32,1178,261,595,103,266,158,329,78,100,8,140,148,136,43,17,57,57,703
486,Gabe Vincent,PG,26,MIA,68,34,1759,228,567,117,350,111,217,68,78,27,118,145,167,62,5,92,154,641
487,Noah Vonleh,C,27,BOS,23,1,171,11,24,1,4,10,20,2,2,18,30,48,7,2,8,11,35,25
488,Nikola Vučević,C,32,CHI,82,82,2746,597,1148,121,347,476,801,132,158,159,744,903,265,60,57,139,179,1447
489,Dean Wade,PF,26,CLE,44,13,891,73,177,45,127,28,50,15,23,20,130,150,37,28,21,17,89,206
490,Franz Wagner,SF,21,ORL,80,80,2609,542,1118,130,360,412,758,271,322,70,259,329,283,77,17,167,183,1485
491,Moritz Wagner,C,25,ORL,57,18,1109,198,396,51,163,147,233,153,182,69,190,259,84,37,13,68,136,600
492,Ish Wainright,SF,28,PHO,60,2,915,84,227,57,173,27,54,26,31,45,94,139,53,38,22,22,117,251
493,Jabari Walker,SF,20,POR,56,0,619,83,198,16,56,67,142,34,45,48,83,131,34,10,13,29,69,216
494,Kemba Walker,PG,32,DAL,9,1,144,24,57,7,28,17,29,17,21,3,13,16,19,2,2,4,11,72
495,Lonnie Walker IV,SG,24,LAL,56,32,1297,236,527,91,249,145,278,91,106,14,95,109,64,30,17,46,71,654
496,John Wall,PG,32,LAC,34,3,755,138,338,33,109,105,229,77,113,14,78,92,178,27,12,80,59,386
497,T.J. Warren,PF-SF,29,TOT,42,0,687,132,270,22,67,110,203,28,35,26,95,121,40,22,12,20,65,314
498,Duane Washington Jr.,SG,22,PHO,31,3,394,94,256,40,111,54,145,16,24,2,34,36,63,6,4,34,23,244
499,P.J. Washington,PF,24,CHO,73,73,2380,434,978,149,428,285,550,127,174,73,285,358,175,66,79,110,193,1144
500,TyTy Washington Jr.,PG,21,HOU,31,2,433,58,160,19,80,39,80,10,18,2,43,45,47,15,2,14,29,145
501,Yuta Watanabe,SF,28,BRK,58,1,928,114,232,60,135,54,97,34,47,30,111,141,48,25,17,22,80,322
502,Lindy Waters III,SG,25,OKC,41,0,531,70,178,58,162,12,16,16,20,16,59,75,28,14,11,10,42,214
503,Trendon Watford,PF,22,POR,62,12,1182,181,323,25,64,156,259,72,100,42,196,238,130,32,12,71,118,459
504,Peyton Watson,SG,20,DEN,23,2,186,29,59,6,14,23,45,11,20,8,29,37,11,2,11,8,14,75
505,Blake Wesley,SG,19,SAS,37,1,669,69,215,20,52,49,163,26,44,11,70,81,99,25,5,65,67,184
506,Russell Westbrook,PG,34,TOT,73,24,2126,432,991,89,286,343,705,206,314,89,334,423,551,76,33,255,162,1159
