,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
228,Sam Hauser,SF,24,BOS,26,0,158,23,50,19,44,4,6,0,0,5,24,29,10,1,2,2,7,65
229,Jaxson Hayes,C,21,NOP,70,28,1398,245,398,20,57,225,341,144,188,115,200,315,43,33,55,54,155,654
230,Killian Hayes,PG,20,DET,66,40,1647,176,459,44,167,132,292,57,74,36,174,210,277,78,35,111,183,453
231,Gordon Hayward,SF,31,CHO,49,48,1564,283,617,86,220,197,397,126,149,38,186,224,177,47,22,81,85,778
232,Aaron Henry,SF,22,PHI,6,0,17,1,5,0,1,1,4,0,0,0,1,1,0,0,2,2,2,2
233,Juancho Hernangómez,PF,26,TOT,40,9,445,44,106,24,69,20,37,19,34,28,72,100,20,14,10,16,25,131
234,Willy Hernangómez,C,27,NOP,50,8,839,170,327,4,12,166,315,109,141,143,195,338,63,21,19,51,97,453
235,Tyler Herro,SG,22,MIA,66,10,2151,501,1122,175,439,326,683,190,219,32,297,329,263,44,8,174,95,1367
236,Buddy Hield,SG,29,TOT,81,32,2499,446,1098,262,716,184,382,111,127,66,287,353,229,73,25,153,184,1265
237,Haywood Highsmith,SF,25,MIA,19,1,163,16,46,9,28,7,18,2,5,10,16,26,6,2,3,3,13,43
238,George Hill,PG,35,MIL,54,17,1253,118,275,41,134,77,141,57,62,38,117,155,120,42,6,41,70,334
239,Malcolm Hill,SF-SG,26,TOT,19,0,212,24,52,13,36,11,16,11,14,11,24,35,8,7,3,3,24,72
240,Solomon Hill,SF,30,ATL,13,1,139,3,20,2,13,1,7,0,0,6,17,23,12,4,2,1,16,8
241,Nate Hinton,SG,22,IND,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
242,Jaylen Hoard,SF,22,OKC,7,5,240,44,90,9,25,35,65,6,14,30,54,84,17,6,5,8,14,103
243,Aaron Holiday,PG,25,TOT,63,15,1021,151,338,39,103,112,235,59,68,24,98,122,153,42,9,67,92,400
244,Jrue Holiday,PG,31,MIL,67,64,2208,478,954,132,321,346,633,137,180,69,232,301,457,108,29,183,133,1225
245,Justin Holiday,SF-SG,32,TOT,74,65,2057,261,662,177,482,84,180,50,62,29,161,190,128,57,33,70,154,749
246,Richaun Holmes,C,28,SAC,45,37,1074,198,300,2,5,196,295,70,90,93,224,317,48,17,41,56,128,468
247,Rodney Hood,PF-SF,29,TOT,52,0,709,58,157,30,91,28,66,17,19,15,62,77,38,15,6,11,31,163
248,Scotty Hopson,SG,32,OKC,1,0,18,2,4,0,1,2,3,0,0,0,1,1,1,0,0,2,1,4
249,Al Horford,C,35,BOS,69,69,2005,266,569,89,265,177,304,80,95,108,422,530,232,49,92,65,130,701
250,Talen Horton-Tucker,SG,21,LAL,60,19,1511,224,538,49,182,175,356,100,125,37,156,193,159,59,29,82,148,597
251,Danuel House Jr.,SF,28,TOT,42,7,727,80,198,44,117,36,81,44,58,18,93,111,44,21,17,33,51,248
252,Dwight Howard,C,36,LAL,60,27,971,134,219,8,15,126,204,96,146,118,238,356,35,34,36,47,115,372
253,Markus Howard,SG,22,DEN,31,0,176,39,101,28,70,11,31,20,23,2,10,12,7,9,0,7,17,126
254,Kevin Huerter,SF,23,ATL,74,60,2188,345,760,160,411,185,349,42,52,32,222,254,203,55,26,91,185,892
255,Jay Huff,C,23,LAL,4,0,20,0,3,0,2,0,1,0,0,1,3,4,1,1,1,1,1,0
256,Elijah Hughes,SG-SF,23,TOT,36,4,434,47,144,25,95,22,49,7,9,6,52,58,22,14,8,17,39,126
257,Feron Hunt,SF,22,NYK,2,0,8,0,2,0,0,0,2,0,0,1,0,1,1,1,0,1,1,0
258,De'Andre Hunter,SF,24,ATL,53,52,1577,254,575,74,195,180,380,127,166,26,150,176,68,36,21,69,155,709
259,Chandler Hutchison,SF,25,PHO,6,0,22,1,2,0,0,1,2,2,2,0,5,5,2,0,0,4,1,4
260,Bones Hyland,SG,21,DEN,69,4,1310,230,571,131,358,99,213,107,125,14,174,188,191,41,20,86,153,698
261,Serge Ibaka,C,32,TOT,54,12,878,148,296,37,99,111,197,32,44,62,188,250,49,11,33,43,102,365
262,Andre Iguodala,SF,38,GSW,31,0,603,46,121,17,74,29,47,15,20,21,79,100,114,27,22,28,34,124
263,Joe Ingles,SF,34,UTA,45,15,1122,115,285,78,225,37,60,17,22,12,119,131,158,23,5,46,82,325
264,Brandon Ingram,SF,24,NOP,55,55,1869,453,983,74,226,379,757,266,322,35,285,320,307,34,26,151,119,1246
265,Kyrie Irving,PG,29,BRK,29,29,1091,289,616,100,239,189,377,118,129,16,111,127,167,41,17,73,81,796
266,Wes Iwundu,SF,27,ATL,3,1,82,8,18,3,5,5,13,3,4,3,10,13,0,1,0,1,8,22
267,Frank Jackson,PG,23,DET,53,7,1164,194,483,86,279,108,204,86,104,19,68,87,55,27,9,38,89,560
268,Isaiah Jackson,C,20,IND,36,15,541,116,206,5,16,111,190,60,88,60,89,149,10,25,52,40,92,297
269,Jaren Jackson Jr.,PF,22,MEM,78,78,2126,430,1036,128,401,302,635,284,345,119,335,454,86,73,177,130,272,1272
270,Josh Jackson,SF,24,TOT,51,3,830,120,300,33,130,87,170,55,77,21,120,141,54,26,22,47,88,328
271,Justin Jackson,SF,26,TOT,7,0,36,5,15,3,9,2,6,2,2,1,6,7,2,0,0,1,3,15
272,Reggie Jackson,SG,31,LAC,75,75,2337,479,1222,167,512,312,710,138,163,39,232,271,359,55,15,173,159,1263
273,LeBron James,C,37,LAL,56,56,2084,640,1221,161,448,479,773,254,336,63,396,459,349,73,59,196,121,1695
274,DeJon Jarreau,SG,24,IND,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,DaQuan Jeffries,SG,24,MEM,3,0,9,1,2,0,1,1,1,0,0,0,2,2,1,0,0,0,1,2
276,Ty Jerome,SG,24,OKC,48,4,801,124,328,54,186,70,142,38,47,19,59,78,109,30,5,37,73,340
277,Isaiah Joe,SG,22,PHI,55,1,609,62,177,45,135,17,42,29,31,6,50,56,35,14,3,19,47,198
278,Alize Johnson,PF,25,TOT,23,0,167,17,39,0,4,17,35,7,12,28,33,61,9,5,0,12,18,41
279,B.J. Johnson,SF,26,ORL,4,0,65,11,25,4,10,7,15,0,0,6,9,15,0,0,1,0,4,26
280,Cameron Johnson,PF,25,PHO,66,16,1730,279,607,166,391,113,216,98,114,42,231,273,99,57,16,47,113,822
281,David Johnson,SG,20,TOR,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
282,Jalen Johnson,PF,20,ATL,22,0,120,22,41,3,13,19,28,5,7,2,24,26,3,3,2,9,9,52
283,James Johnson,PF,34,BRK,62,10,1191,144,307,23,85,121,222,29,55,51,164,215,130,30,34,48,162,340
284,Joe Johnson,SG,40,BOS,1,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
285,Keldon Johnson,SF,22,SAS,75,74,2392,471,1011,159,399,312,612,177,234,80,377,457,158,58,14,92,148,1278
286,Keon Johnson,SG,19,TOT,37,12,696,96,272,34,100,62,172,41,51,24,57,81,76,28,12,46,69,267
287,Stanley Johnson,PF,25,LAL,48,27,1094,117,251,33,105,84,146,53,74,34,121,155,80,43,14,35,109,320
288,Tyler Johnson,PG,29,TOT,6,0,91,6,20,5,13,1,7,0,0,3,9,12,7,3,3,2,7,17
289,Nikola Jokić,C,26,DEN,74,74,2476,764,1311,97,288,667,1023,379,468,206,813,1019,584,109,63,281,191,2004
290,Carlik Jones,PG,24,TOT,5,0,23,1,9,0,1,1,8,2,2,1,2,3,5,1,0,3,0,4
291,Damian Jones,C,26,SAC,56,15,1017,175,266,10,29,165,237,94,131,75,171,246,69,26,47,59,130,454
292,Derrick Jones Jr.,PF,24,CHI,51,8,899,105,195,20,61,85,134,56,70,60,109,169,30,25,33,30,105,286
293,Herbert Jones,PF,23,NOP,78,69,2335,274,576,57,169,217,407,137,163,98,198,296,167,130,60,100,238,742
294,Jemerrio Jones,SF,26,LAL,2,0,15,2,3,0,0,2,3,0,0,2,1,3,0,1,0,0,2,4
295,Kai Jones,C,21,CHO,21,0,63,9,14,1,2,8,12,3,8,3,8,11,4,1,2,6,8,22
296,Mason Jones,SG,23,LAL,4,0,51,7,15,1,4,6,11,12,15,1,9,10,4,2,0,1,8,27
297,Tre Jones,PG,22,SAS,69,11,1148,166,339,10,51,156,288,71,91,29,126,155,233,42,7,46,78,413
298,Tyus Jones,PG,25,MEM,73,23,1549,249,552,80,205,169,347,54,66,17,159,176,324,66,2,46,32,632
299,DeAndre Jordan,C,33,TOT,48,20,622,92,143,0,0,92,143,22,40,83,181,264,21,12,35,37,71,206
300,Cory Joseph,PG,30,DET,65,39,1600,178,400,65,157,113,243,100,113,29,145,174,237,42,17,85,147,521
301,Georgios Kalaitzakis,SF,23,TOT,13,4,213,31,67,10,26,21,41,14,30,6,15,21,12,11,2,20,19,86
302,Frank Kaminsky,C,28,PHO,9,0,181,36,66,5,15,31,51,18,20,11,30,41,13,8,7,5,14,95
303,Luke Kennard,SG,25,LAC,70,13,1919,287,639,190,423,97,216,69,77,20,209,229,146,42,6,60,101,833
304,Braxton Key,SF,24,TOT,11,0,197,33,72,6,21,27,51,7,13,13,37,50,11,10,11,11,26,79
305,George King,SF,28,DAL,4,0,19,0,5,0,4,0,1,1,2,0,5,5,0,0,0,1,4,1
306,Louis King,SF,22,SAC,10,0,104,15,47,8,27,7,20,7,10,0,12,12,9,2,1,0,14,45
307,Corey Kispert,SF,22,WAS,77,36,1801,234,514,112,320,122,194,54,62,53,156,209,85,35,22,50,93,634
308,Maxi Kleber,PF,30,DAL,59,21,1450,141,354,83,255,58,99,46,65,70,280,350,68,30,58,47,137,411
309,Brandon Knight,PG,30,DAL,5,0,65,10,25,4,17,6,8,8,8,0,8,8,8,1,0,4,5,32
310,Nathan Knight,PF,24,MIN,37,2,267,45,88,4,13,41,75,44,60,32,53,85,22,7,8,18,42,138
311,Kevin Knox,SF,22,TOT,30,0,222,31,85,15,54,16,31,16,22,14,30,44,10,4,2,7,19,93
312,John Konchar,SG,25,MEM,72,7,1292,135,262,52,126,83,136,27,49,87,242,329,109,45,22,29,90,349
313,Furkan Korkmaz,SG,24,PHI,67,19,1414,182,470,77,266,105,204,68,84,22,153,175,127,33,9,48,58,509
314,Luke Kornet,C,26,TOT,15,0,103,13,27,0,5,13,22,4,6,13,16,29,9,3,3,0,9,30
315,Vit Krejci,SG,21,OKC,30,8,690,68,167,32,98,36,69,19,22,18,83,101,57,19,8,29,65,187
316,Arnoldas Kulboka,SF,24,CHO,2,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
317,Jonathan Kuminga,SF,19,GSW,70,12,1185,236,460,50,149,186,311,130,190,54,180,234,64,31,22,74,146,652
318,Kyle Kuzma,PF,26,WAS,66,66,2204,423,936,128,375,295,561,156,219,70,491,561,233,42,57,169,128,1130
319,Anthony Lamb,SF,24,SAS,2,0,8,0,2,0,2,0,0,0,0,0,1,1,2,0,0,0,0,0
320,Jeremy Lamb,SF-SG,29,TOT,56,0,935,133,347,55,170,78,177,89,106,26,128,154,81,31,22,37,59,410
321,Jock Landale,C,26,SAS,54,1,589,101,204,29,89,72,115,34,41,63,75,138,45,10,14,31,53,265
322,Romeo Langford,SG,22,TOT,48,5,771,83,191,29,85,54,106,23,42,30,78,108,21,22,16,16,47,218
323,Zach LaVine,SG,26,CHI,67,67,2328,565,1186,185,475,380,711,320,375,22,286,308,303,41,23,171,120,1635
324,Jake Layman,SF,27,MIN,34,1,231,30,73,8,35,22,38,13,18,6,30,36,9,7,5,10,12,81
325,Damion Lee,SG,29,GSW,63,5,1256,169,383,63,187,106,196,66,75,27,176,203,63,39,6,38,95,467
326,Saben Lee,PG,22,DET,37,0,604,69,177,14,60,55,117,56,71,18,69,87,107,36,12,36,44,208
327,Alex Len,C,28,SAC,39,10,620,94,176,6,21,88,155,41,63,52,109,161,45,13,25,43,100,235
328,Caris LeVert,SG,27,TOT,58,49,1780,379,854,82,256,297,598,146,193,43,171,214,248,51,23,108,131,986
329,Kira Lewis Jr.,PG,20,NOP,24,0,341,59,146,13,58,46,88,10,12,9,30,39,49,11,1,26,17,141
330,Scottie Lewis,SG,21,CHO,2,0,7,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,1
331,Damian Lillard,PG,31,POR,29,29,1056,222,552,92,284,130,268,159,181,13,107,120,212,17,11,83,37,695
332,Nassir Little,SF,21,POR,42,23,1088,145,315,51,154,94,161,69,94,58,178,236,54,25,36,40,82,410
333,Isaiah Livers,SF,23,DET,19,5,383,41,90,27,64,14,26,12,14,15,42,57,21,13,7,15,37,121
334,Kevon Looney,C,25,GSW,82,80,1732,208,364,0,1,208,363,75,125,208,388,596,165,50,52,67,215,491
335,Brook Lopez,C,33,MIL,13,11,298,61,131,19,53,42,78,20,23,19,34,53,6,8,15,12,34,161
336,Robin Lopez,C,33,ORL,36,9,612,110,199,2,6,108,193,32,54,68,58,126,54,2,18,44,67,254
337,Didi Louzada,SG-SF,22,TOT,9,1,129,12,33,9,23,3,10,2,2,5,12,17,5,2,2,5,13,35
338,Kevin Love,C,33,CLE,74,4,1665,327,761,187,477,140,284,166,198,87,449,536,160,26,18,98,101,1007
339,Kyle Lowry,PG,35,MIA,63,63,2133,276,627,144,382,132,245,148,174,33,249,282,474,67,17,168,177,844
340,Gabriel Lundberg,SG,27,PHO,4,0,44,5,19,3,8,2,11,0,0,2,5,7,11,3,0,3,7,13
341,Timothé Luwawu-Cabarrot,SF,26,ATL,52,18,685,74,186,44,122,30,64,35,41,17,65,82,40,18,6,20,76,227
342,Trey Lyles,PF,26,TOT,75,23,1536,262,562,67,209,195,353,195,243,89,290,379,88,29,32,73,123,786
343,Théo Maledon,PG,20,OKC,51,7,908,119,317,44,150,75,167,79,100,20,111,131,111,31,11,65,67,361
344,Sandro Mamukelashvili,PF,22,MIL,41,3,407,57,115,22,52,35,63,18,22,35,47,82,22,9,9,15,28,154
345,Terance Mann,SF,25,LAC,81,33,2317,334,690,76,208,258,482,128,164,104,321,425,209,55,21,84,178,872
346,Tre Mann,PG,20,OKC,60,26,1367,231,588,98,272,133,316,65,82,25,146,171,91,47,12,71,102,625
347,Boban Marjanović,C,33,DAL,23,0,128,42,70,1,4,41,66,13,22,8,31,39,3,0,3,15,24,98
348,Lauri Markkanen,SF,24,CLE,61,61,1878,313,703,136,380,177,323,138,159,59,286,345,81,45,30,54,130,900
349,Naji Marshall,SF,24,NOP,55,4,735,109,269,21,105,88,164,74,93,38,104,142,62,33,8,46,69,313
350,Caleb Martin,SF,26,MIA,60,12,1372,208,410,64,155,144,255,71,93,70,160,230,64,58,30,52,104,551
351,Cody Martin,SF,26,CHO,71,11,1866,204,423,61,159,143,264,75,107,82,203,285,179,88,32,61,116,544
352,Kelan Martin,SF,26,TOT,30,1,450,70,171,22,75,48,96,9,13,17,38,55,21,13,9,14,36,171
353,Kenyon Martin Jr.,SF,21,HOU,79,2,1656,279,523,60,168,219,355,78,123,80,217,297,101,34,40,60,113,696
354,Garrison Mathews,SG,25,HOU,65,33,1712,184,461,139,386,45,75,143,180,32,158,190,64,57,24,41,168,650
355,Dakota Mathias,SG,26,MEM,6,0,16,2,6,2,6,0,0,0,0,0,2,2,1,1,0,0,1,6
356,Wesley Matthews,SG,35,MIL,49,14,1002,87,220,53,157,34,63,22,28,30,62,92,36,23,8,18,87,249
357,Tyrese Maxey,PG,21,PHI,75,74,2650,483,995,132,309,351,686,213,246,26,214,240,321,55,32,88,156,1311
358,Skylar Mays,SG,24,ATL,28,5,220,32,64,8,25,24,39,8,9,5,20,25,17,7,0,10,9,80
359,Miles McBride,PG,21,NYK,40,2,372,32,108,17,68,15,40,8,12,4,38,42,41,14,1,5,45,89
360,Mac McClung,SG-PG,23,TOT,2,0,24,3,6,1,3,2,3,1,1,0,3,3,1,1,1,3,5,8
361,CJ McCollum,SG,30,TOT,62,62,2145,536,1164,182,469,354,695,116,170,53,216,269,315,70,22,127,121,1370
362,T.J. McConnell,PG,29,IND,27,8,652,100,208,10,33,90,175,19,23,20,70,90,131,29,10,29,53,229
363,Jaden McDaniels,PF,21,MIN,70,31,1803,255,554,80,252,175,302,57,71,76,217,293,79,52,54,75,224,647
364,Jalen McDaniels,SF,24,CHO,55,2,895,123,254,41,108,82,146,53,72,37,133,170,58,26,22,36,93,340
365,Doug McDermott,PF,30,SAS,51,51,1223,215,465,108,256,107,209,40,51,18,97,115,64,13,6,43,79,578
366,JaVale McGee,C,34,PHO,74,17,1172,288,458,2,9,286,449,102,146,163,333,496,42,22,81,98,181,680
367,Cameron McGriff,SF,24,POR,3,0,46,5,14,2,6,3,8,2,2,6,9,15,3,0,1,0,7,14
368,Rodney McGruder,SG,30,DET,51,2,754,98,225,58,146,40,79,19,26,31,80,111,48,21,7,24,58,273
369,Alfonzo McKinnie,SF,29,CHI,17,3,206,24,61,9,27,15,34,2,8,13,20,33,5,2,3,7,26,59
370,JaQuori McLaughlin,PG,24,DAL,4,0,11,0,2,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0
371,Jordan McLaughlin,PG,25,MIN,62,3,902,88,200,27,85,61,115,30,40,22,72,94,180,57,10,38,54,233
372,Ben McLemore,SG,28,POR,64,6,1285,216,539,151,417,65,122,72,88,12,91,103,59,38,10,55,103,655
373,De'Anthony Melton,SG,23,MEM,73,15,1657,281,695,139,372,142,323,90,120,64,264,328,194,104,39,112,128,791
374,Sam Merrill,SG,25,MEM,6,0,58,8,24,7,23,1,1,2,4,1,6,7,4,0,0,2,3,25
375,Chimezie Metu,C,24,SAC,60,20,1279,203,449,57,186,146,263,71,91,34,301,335,60,51,32,61,93,534
376,Khris Middleton,SF,30,MIL,66,66,2141,452,1021,162,434,290,587,259,291,41,315,356,358,76,18,190,160,1325
377,C.J. Miles,SG,34,BOS,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
378,Patty Mills,SG,33,BRK,81,48,2346,324,794,227,568,97,226,48,59,18,138,156,183,51,17,73,112,923
379,Paul Millsap,C,36,TOT,33,1,375,45,115,8,35,37,80,17,24,41,73,114,29,10,13,19,67,115
380,Shake Milton,SG,25,PHI,55,6,1179,173,403,43,133,130,270,61,73,30,112,142,139,28,17,44,99,450
381,Davion Mitchell,PG,23,SAC,75,19,2076,352,843,101,320,251,523,56,85,33,133,166,313,55,24,114,141,861
382,Donovan Mitchell,SG,25,UTA,67,67,2266,617,1376,232,654,385,722,267,313,55,227,282,358,99,12,200,164,1733
383,Evan Mobley,PF,20,CLE,69,69,2331,422,830,23,92,399,738,167,252,143,427,570,174,56,115,133,147,1034
384,Malik Monk,SG,23,LAL,76,37,2139,391,826,173,442,218,384,93,117,37,219,256,218,61,29,122,138,1048
385,Greg Monroe,C,31,TOT,14,0,195,32,57,0,0,32,57,12,23,30,34,64,22,8,10,12,24,76
386,Moses Moody,SG,19,GSW,52,11,607,80,183,40,110,40,73,28,36,17,63,80,23,7,10,13,43,228
387,Xavier Moon,SG,27,LAC,10,0,137,25,51,5,14,20,37,3,5,2,12,14,24,7,3,6,9,58
388,Matt Mooney,SG,25,NYK,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
389,Ja Morant,PG,22,MEM,57,57,1889,580,1177,88,256,492,921,316,415,77,248,325,384,66,22,196,86,1564
390,Juwan Morgan,PF,24,TOT,2,0,31,2,3,1,2,1,1,0,0,2,2,4,1,0,0,0,3,5
391,Jaylen Morris,SG,26,SAS,3,0,16,0,6,0,2,0,4,2,4,0,2,2,2,0,0,1,2,2
392,Marcus Morris,PF,32,LAC,54,54,1564,300,691,101,275,199,416,129,148,26,213,239,113,28,18,69,115,830
393,Markieff Morris,PF,32,MIA,17,1,298,54,114,13,39,41,75,8,9,17,28,45,23,6,1,20,33,129
394,Monte Morris,PG,26,DEN,75,74,2239,374,773,124,314,250,459,73,84,27,199,226,333,56,14,78,92,945
395,Emmanuel Mudiay,PG,25,SAC,2,0,11,0,2,0,0,0,2,3,4,0,0,0,4,1,0,1,1,3
396,Mychal Mulder,PG,27,TOT,17,3,240,24,77,17,54,7,23,4,4,2,22,24,5,4,2,8,13,69
397,Ade Murkey,SG,24,SAC,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,Trey Murphy III,SF,21,NOP,62,1,864,109,277,71,186,38,91,45,51,47,100,147,38,23,7,16,60,334
399,Dejounte Murray,PG,25,SAS,68,68,2366,573,1241,96,294,477,947,196,247,80,483,563,627,138,23,180,138,1438
400,Mike Muscala,C,30,OKC,43,0,592,113,248,70,163,43,85,48,57,21,108,129,22,18,26,14,58,344
401,Svi Mykhailiuk,SF,24,TOR,56,5,716,91,234,41,134,50,100,32,37,20,72,92,45,26,4,32,54,255
402,Abdel Nader,SF,28,PHO,14,0,145,12,35,4,14,8,21,6,10,4,23,27,7,8,4,11,20,34
403,Larry Nance Jr.,C-PF,29,TOT,46,11,1040,129,247,23,70,106,177,40,57,72,176,248,81,43,20,37,84,321
404,RJ Nembhard Jr.,SG,22,CLE,14,0,63,6,18,0,2,6,16,3,4,3,4,7,12,1,0,3,2,15
405,Aaron Nesmith,SF,22,BOS,52,3,574,72,182,31,115,41,67,21,26,15,74,89,22,20,5,31,70,196
406,Raul Neto,PG,29,WAS,70,19,1372,204,441,35,120,169,321,83,108,13,121,134,217,55,3,79,104,526
407,Malik Newman,PG,24,CLE,1,0,8,3,5,0,1,3,4,2,2,0,1,1,1,0,0,1,0,8
408,Georges Niang,PF,28,PHI,76,7,1736,246,563,156,387,90,176,52,59,25,178,203,102,30,13,59,190,700
409,Daishen Nix,SG,19,HOU,24,0,261,27,67,7,26,20,41,16,30,7,26,33,40,15,0,26,21,77
410,Zeke Nnaji,PF,21,DEN,41,1,698,96,186,37,80,59,106,41,65,56,91,147,17,16,13,23,79,270
411,Nerlens Noel,C,27,NYK,25,11,562,32,60,0,3,32,57,21,30,48,93,141,23,30,31,20,67,85
412,Jaylen Nowell,SG,22,MIN,62,1,975,196,413,63,160,133,253,72,92,22,101,123,130,27,10,36,73,527
413,Frank Ntilikina,SG,23,DAL,58,5,685,89,223,38,111,51,112,24,25,12,67,79,69,27,7,31,61,240
414,Jusuf Nurkić,C,27,POR,56,56,1579,321,600,15,56,306,544,185,268,167,452,619,157,62,34,143,189,842
415,David Nwaba,SF,29,HOU,46,4,609,85,176,15,49,70,127,48,67,41,110,151,35,28,20,21,55,233
416,Jordan Nwora,SF,23,MIL,62,13,1185,186,462,79,227,107,235,36,43,37,184,221,59,25,17,57,78,487
417,Royce O'Neale,SF,28,UTA,77,77,2406,203,444,119,306,84,138,45,56,64,304,368,191,86,32,79,183,570
418,Semi Ojeleye,PF,27,TOT,30,0,406,30,99,15,50,15,49,23,29,27,47,74,9,7,6,9,30,98
419,Chuma Okeke,PF,23,ORL,70,20,1749,216,575,118,371,98,204,55,65,47,300,347,118,97,42,57,95,605
420,Josh Okogie,SG,23,MIN,49,6,516,42,104,14,47,28,57,35,51,29,41,70,25,26,12,23,53,133
421,Onyeka Okongwu,C,21,ATL,48,6,992,156,226,0,0,156,226,80,110,115,168,283,53,31,60,44,149,392
422,Isaac Okoro,SF,21,CLE,67,61,1981,207,431,55,157,152,274,119,155,72,129,201,121,56,22,58,164,588
423,KZ Okpala,PF,22,MIA,21,0,244,30,69,9,26,21,43,8,11,11,30,41,14,4,7,5,25,77
424,Victor Oladipo,SG,29,MIA,8,1,173,35,73,15,36,20,37,14,19,3,20,23,28,5,1,16,13,99
425,Cameron Oliver,SF,25,ATL,2,0,43,10,15,1,3,9,12,2,3,2,4,6,3,1,1,0,5,23
426,Kelly Olynyk,C,30,DET,40,1,764,128,286,40,119,88,167,69,89,54,123,177,111,31,19,58,100,365
427,Eugene Omoruyi,SF,24,DAL,4,0,18,2,5,1,2,1,3,2,4,2,5,7,2,0,0,0,2,7
428,Miye Oni,SG,24,UTA,16,0,44,2,9,1,8,1,1,0,1,1,6,7,5,0,0,1,7,5
429,Cedi Osman,SF,26,CLE,66,3,1462,247,572,128,359,119,213,87,131,25,121,146,135,52,10,67,127,709
430,Daniel Oturu,C,22,TOR,3,0,27,3,6,0,1,3,5,3,5,1,4,5,0,0,2,0,1,9
431,Kelly Oubre Jr.,SF,26,CHO,76,13,1999,410,932,191,553,219,379,126,189,79,223,302,84,77,31,67,189,1137
432,Jaysean Paige,PG,27,DET,1,0,7,0,3,0,2,0,1,0,0,0,1,1,1,0,0,1,2,0
433,Trayvon Palmer,SG,27,DET,1,0,17,0,1,0,0,0,1,0,0,0,2,2,0,0,0,1,2,0
434,Kevin Pangos,PG,29,CLE,24,3,166,15,46,6,26,9,20,3,4,2,9,11,30,3,0,7,11,39
435,Jabari Parker,PF,26,BOS,12,0,112,18,38,8,16,10,22,9,9,5,23,28,6,4,1,8,13,53
436,Eric Paschall,PF,25,UTA,58,3,737,114,235,40,108,74,127,66,86,30,76,106,36,9,5,27,51,334
437,Chris Paul,PG,36,PHO,65,65,2139,363,736,63,199,300,537,169,202,22,261,283,702,121,20,153,134,958
438,Cameron Payne,PG,27,PHO,58,12,1278,240,587,71,211,169,376,75,89,24,151,175,282,40,17,103,119,626
439,Elfrid Payton,PG,27,PHO,50,1,549,67,175,4,18,63,157,12,32,21,67,88,99,25,6,47,38,150
440,Gary Payton II,SG,29,GSW,71,16,1248,212,344,43,120,169,224,35,58,72,175,247,64,96,22,40,131,502
441,Norvel Pelle,C,28,UTA,3,0,19,3,5,0,0,3,5,0,0,3,3,6,0,0,1,2,1,6
442,Reggie Perry,PF,21,TOT,10,1,187,40,79,3,16,37,63,9,15,15,32,47,12,9,6,11,33,92
443,Jamorko Pickett,PF,24,DET,13,0,176,18,50,13,39,5,11,1,2,6,26,32,7,0,7,5,12,50
444,Theo Pinson,SF,26,DAL,19,0,148,14,39,10,30,4,9,10,10,2,19,21,17,5,2,5,12,48
445,Mason Plumlee,C,31,CHO,73,73,1793,205,320,0,2,205,318,67,171,176,389,565,226,61,52,100,224,477
446,Jakob Poeltl,C,26,SAS,68,67,1970,410,663,1,1,409,662,94,190,262,372,634,189,45,118,109,212,915
447,Aleksej Pokusevski,PF,20,OKC,61,12,1233,186,456,57,197,129,259,35,50,73,245,318,131,39,38,94,88,464
448,Yves Pons,SF,22,MEM,12,0,71,5,16,3,9,2,7,0,2,5,7,12,1,1,4,1,6,13
449,Jordan Poole,SG,22,GSW,76,51,2283,474,1058,211,580,263,478,246,266,34,226,260,304,60,23,187,206,1405
450,Kevin Porter Jr.,PG,21,HOU,61,61,1907,335,808,155,413,180,395,124,193,43,224,267,376,69,22,192,156,949
451,Michael Porter Jr.,SF,23,DEN,9,9,265,37,103,10,48,27,55,5,9,9,50,59,17,10,2,12,16,89
452,Otto Porter Jr.,PF,28,GSW,63,15,1396,193,416,80,216,113,200,49,61,86,276,362,94,68,29,37,83,515
453,Bobby Portis,C,26,MIL,72,59,2028,417,871,133,338,284,533,85,113,180,477,657,86,53,51,90,174,1052
454,Kristaps Porziņģis,PF,26,TOT,51,51,1481,352,767,78,252,274,515,248,286,102,309,411,119,37,84,81,137,1030
455,Micah Potter,C,23,DET,3,0,31,5,11,0,2,5,9,2,2,4,5,9,0,1,1,1,4,12
456,Dwight Powell,C,30,DAL,82,71,1798,269,401,13,37,256,364,166,212,173,231,404,97,37,39,64,220,717
457,Myles Powell,PG,24,PHI,11,0,52,5,17,1,6,4,11,2,2,1,5,6,3,1,0,3,8,13
458,Norman Powell,SF-SG,28,TOT,45,41,1458,279,605,106,253,173,352,189,233,20,125,145,96,42,21,69,106,853
